,bin,baseline_ca,pos,cell,recording,animal,ctrl
267,18.0,878.8717325455511,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
268,19.0,834.437352609661,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
269,20.0,872.212965939091,3,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
270,21.0,856.4277089196253,4,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
271,22.0,903.8054057643895,4,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
272,23.0,876.7584481173083,4,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
273,24.0,879.7874277250761,4,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
274,25.0,900.0098856978676,4,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
275,26.0,,4,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
276,27.0,,4,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
277,28.0,,4,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
278,29.0,852.7488703937439,4,Mean20,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
